PROGRESSIVO;CITTADINANZA_DESC;TIPO_CITTADINANZA_DESC;FACOLTA_DESC;CDS_DESC;TIPO_CORSO_DES;TipoAbbomanento;COMUNE_RESIDENZA_DESC;PROVINCIA_RESIDENZA_DESC;REGIONE_RESIDENZA_DESC;NAZIONE_RESIDENZA_DESC
649;ITALIA;Italiana;Dipartimento di Lettere e Filosofia;Mediazione linguistica, turismo e culture;Corso di Laurea Magistrale;OpenMove;Genova;Genova;Liguria;ITALIA
650;ITALIA;Italiana;Dipartimento di Lettere e Filosofia;Lingue moderne;Corso di Laurea;OpenMove;Levico Terme;Trento;Trentino Alto Adige;ITALIA
651;ITALIA;Italiana;Dipartimento di Ingegneria e Scienza dell'Informazione;Informatica;Corso di Laurea;OldSmartCard;Porto Mantovano;Mantova;Lombardia;ITALIA
652;ITALIA;Italiana;Dipartimento di Sociologia e Ricerca Sociale;Sociologia;Corso di Laurea;OpenMove;Ponzano Veneto;Treviso;Veneto;ITALIA
653;ITALIA;Italiana;Dipartimento di Matematica;Matematica;Corso di Laurea;OpenMove;Remedello;Brescia;Lombardia;ITALIA
654;ITALIA;Italiana;Dipartimento di Lettere e Filosofia;Mediazione linguistica, turismo e culture;Corso di Laurea Magistrale;OldSmartCard;COMANO TERME;Trento;Trentino Alto Adige;ITALIA
655;ITALIA;Italiana;Dipartimento di Lettere e Filosofia;Filologia e critica letteraria;Corso di Laurea Magistrale;OpenMove;Brescia;Brescia;Lombardia;ITALIA
656;ITALIA;Italiana;Dipartimento di Ingegneria Civile, Ambientale e Meccanica;Ingegneria Civile;Corso di Laurea Magistrale;NewSmartCard;Negrar;Verona;Veneto;ITALIA
657;ITALIA;Italiana;Dipartimento di Sociologia e Ricerca Sociale;Metodologia, Organizzazione e Valutazione dei Servizi Sociali;Corso di Laurea Magistrale;OldSmartCard;Torcegno;Trento;Trentino Alto Adige;ITALIA
658;ITALIA;Italiana;Centro Interdipartimentale Biologia Integrata- CIBio;Biologia Quantitativa e Computazionale;Corso di Laurea Magistrale;NewSmartCard;Montepulciano;Siena;Toscana;ITALIA
659;ITALIA;Italiana;Centro Interdipartimentale Biologia Integrata- CIBio;BIOTECNOLOGIE CELLULARI E MOLECOLARI;Corso di Laurea Magistrale;OpenMove;Bari;Bari;Puglia;ITALIA
660;ITALIA;Italiana;Dipartimento di Lettere e Filosofia;Filologia e critica letteraria;Corso di Laurea Magistrale;OpenMove;Sovizzo;Vicenza;Veneto;ITALIA
661;IRAN;Extracomunitaria;Dipartimento di Fisica;FISICA;Corso di Laurea Magistrale;OpenMove;-;-;-;IRAN
662;ITALIA;Italiana;Centro Interdipartimentale Biologia Integrata- CIBio;BIOTECNOLOGIE CELLULARI E MOLECOLARI;Corso di Laurea Magistrale;OpenMove;Faenza;Ravenna;Emilia-Romagna;ITALIA
663;ITALIA;Italiana;Centro Interdipartimentale Biologia Integrata- CIBio;BIOTECNOLOGIE CELLULARI E MOLECOLARI;Corso di Laurea Magistrale;OpenMove;Merano;Bolzano;Trentino Alto Adige;ITALIA
664;ITALIA;Italiana;Centro Agricoltura, Alimenti, Ambiente - C3A;Viticoltura ed Enologia;Corso di Laurea;OpenMove;San Martino Buon Albergo;Verona;Veneto;ITALIA
665;ITALIA;Italiana;Dipartimento di Lettere e Filosofia;Lingue moderne;Corso di Laurea;NewSmartCard;Trento;Trento;Trentino Alto Adige;ITALIA
